"","stock[, 1]","Sec_10R","Sec_15R","Sec_20R","Sec_25R","Sec_30R","Sec_35R","Sec_40R","Sec_45R","Sec_50R","Sec_55R","Sec_60R"
"85",20140505,-0.013795431,-0.00120831,-0.000250687,-0.002075211,-0.000334185,0.00110437,-0.005977465,0.003334614,0.0022502,0.006047375,0.009134345
"86",20140506,0.005943198,0.005322875,-0.007391228,-0.0131025,-0.006358256,-0.005511727,-0.002329261,-0.003410899,-0.007808263,-0.004623361,-0.00372212
"87",20140507,-6.77558e-05,0.001469257,0.009559643,-0.004306513,0.009199009,0.001563745,0.001027706,0.004197307,0.002861261,0.01518615,0.012529526
"88",20140508,0.005411056,-0.004726016,-0.000867299,-0.008419145,0.003409016,-0.005768917,0.000266683,0.001523809,0.012273092,-0.012029712,0.001394641
"89",20140509,0.004008081,-0.008135447,0.001504278,0.006745345,0.003251127,0.001463976,0.002958975,-0.001802207,0.001688755,-0.013171795,0.000230906
"90",20140512,0.012499138,0.023063082,0.01365969,0.010849231,-0.00070666,0.004025073,0.015362269,0.012115652,0.012974696,-0.009731649,0.002722051
"91",20140513,0.009329762,0.00312488,0.002389952,0.007551533,0.000952272,0.002735459,-0.001169228,0.000715808,-0.001592462,0.002997438,-0.005801025
"92",20140514,0.001618762,0.007517257,-0.007188637,-0.011772103,-0.004642886,0.000524956,-5.20241e-05,-0.004300372,-0.001001583,0.000109318,0.001022259
"93",20140515,-0.002780063,-0.006317859,-0.00927388,-0.008706462,-0.010763819,-0.00146734,-0.001525768,-0.004670341,-0.002611466,-0.004092895,-9.8914e-05
"94",20140516,0.00615887,-0.010919923,0.002352524,0.00533376,0.007346583,0.00136011,0.009594175,0.005921866,0.010521615,0.000872507,0.007767066
"95",20140519,0.001573254,-0.006295738,0.002848277,-0.001377617,-0.004168165,-0.003472709,0.002324853,0.003654565,0.013140322,-0.016254515,-0.004646231
"96",20140520,-0.008029759,-0.016547554,-0.011442301,-0.007115919,-0.004366826,-0.005688343,-0.006435203,-0.005439975,-0.004438177,0.001911055,-0.003077507
"97",20140521,0.014760782,0.002526908,0.008413303,0.009154329,0.004443986,0.009030083,0.000910054,0.005987622,0.008280947,-0.000204938,-0.004806317
"98",20140522,0.008782458,0.011809043,0.001965176,0.007350171,-0.002799462,0.003600248,0.003900772,0.000739085,-0.01056858,0.008374468,-0.003341221
"99",20140523,-0.000928652,0.002512062,0.005072273,0.005772327,0.000244035,-0.00174868,-0.000344129,0.005801182,-0.000834173,-0.003497313,0.006514339
"100",20140527,-0.006793433,0.00254063,0.00357758,0.008272721,0.002042117,0.002345079,0.008184834,0.009107035,0.003210283,0.006724443,0.006011841
"101",20140528,0.004081172,-0.012583837,0.001371652,-0.001485427,-0.001127511,-0.007936035,0.006825202,-0.002541305,-0.000953612,0.003649221,-0.00710091
