"","Date","Sec_10","Sec_15","Sec_20","Sec_25","Sec_30","Sec_35","Sec_40","Sec_45","Sec_50","Sec_55","Sec_60"
"82",20160428,10882910099160,432387851055,1427394431080,1824523270570,1199134340150,2253616284910,2144298083500,3065683181700,2713810435010,228401363800,350824332970
"83",20160429,10727496326890,432176250975,1422527823520,1845048355620,1193091997200,2222575671560,2126405480050,3024794016870,2702006607580,229510282580,347964466630
"84",20160502,10685185711650,431139765455,1429177967620,1869269609760,1203333122770,2235596174700,2132658270177.6,3045001483340,2713672546440,230502518190,353601980570
"85",20160503,10363469666890,411948654050,1418028430090,1845129096140,1199245134820,2227879870426,2089424630857.2,3017483027750,2685623906000,230301167280,354133536095
"86",20160504,10171728763100,397065007600,1400526880320,1833556546260,1199483674700,2201865096940,2053506330107.4,3003308572120,2681822327720,233327113860,360094504610
"87",20160505,10239718589420,395524157197.5,1395415207230,1834014011280,1203411296170,2203300898140,2044910580640.2,3003131692470,2687362279880,233519442740,360046889370
"88",20160506,10180199882090,400449561000,1404415294070,1852818799650,1213037144380,2194466643290,2045280913542.9,3009416776750,2685614654350,231709142000,363214231920
"89",20160509,9917064567300,382536118255,1396408202770,1854222985930,1219771102520,2212462789460,2029028625127.9,3008492912660,2675645953820,232389732690,366836358428.9
"90",20160510,10239723316550,393032438672.5,1419957500380,1884960514850,1228763419300,2228924962600,2058189483349.5,3040208838580,2720443410050,233917168480,368162038490
"91",20160511,10205606181120,393424677160,1408562701490,1849593799160,1215080488740,2206788632764,2044110227585,3017582751500,2686312289890,234676147600,359671641170
"92",20160512,10157584841990,389352058200,1406905477670,1863810733250,1219328732790,2198103837770,2035826068455,2999075823750,2686894242070,236061829280,362936180172
"93",20160513,9925915652530,383386224865,1387526228940,1841963433460,1199877925290,2186067611189.2,2012758819657,2989233893100,2649016832010,234818533240,358598312012
"94",20160516,10233441676340,391867109065,1401151957800,1852760011120,1208351265610,2208785578640,2031325029672.7,3041227782920,2680454616550,235233485320,362529761482
"95",20160517,10291669805710,399132698858.8,1392532650000,1835544163840,1188419382260,2188412065370,2030924996760,3009736362355,2649991318880,231562672820,356520434504.1
"96",20160518,10134905126650,388521646275,1388601011870,1838268760660,1174071227430,2195916974538,2061873967806.8,3039344020840,2627858592870,226391585010,352014088494.1
"97",20160519,10039569375300,388698714250,1375244692190,1827034421940,1192578221350,2173303792522,2039061876728,3018858718350,2607624552970,228525154520,348467899780
"98",20160520,10102610762590,385840610340,1381546686030,1835883785240,1189967512530,2191367121900,2041566337680,3065402267190,2636497830590,229096155270,350720945710
"99",20160523,9998583648420,386059423020,1378028462270,1824352520425,1189241793090,2189159516520,2036673417240,3076121845000,2626127968540,226351321690,350782619040
"100",20160524,10066858391850,389984127260,1390120141420,1850214721810,1204354114780,2220584420850,2074480100390.9,3133994382510,2663387657468,228788032910,354478555860
"101",20160525,10347684769590,398048202380,1399308551330,1845913822240,1208864636370,2241682787400,2118902826140.5,3161586319750,2689713947310,228477612520,354513556346.1
"102",20160526,10345044085770,396030514382.5,1398062442060,1859658721470,1214289348630,2241313463550,2106032666919.1,3169030567660,2698016489870,230789985410,355271223413.5
"103",20160527,10369547923130,392728240665.8,1401067161410,1861793129800,1214219038080,2244283150660,2115220642360,3177639753210,2702735124170,230928799210,356467569000
"104",20160531,10265930857310,386119018995,1398791850460,1874891862615,1209781173570,2241252303040,2100858010425,3176953749830,2715014933860,231832102470,355985236261.9
"105",20160601,10404353598280,384217384638.3,1398996024770,1853624055245,1218539705450,2240188276500,2104626560577.1,3183860548970,2721266326020,232289984810,355652750561.9
"106",20160602,10497516296580,385812138068.3,1400096420250,1861775823565,1219630149160,2262350948630,2114372184020,3173381856190,2726091767770,232049528960,356656277170
"107",20160603,10467880827330,397078015970,1404117639970,1851610163170,1226339526070,2267636799010,2093962538250,3178539045020,2710880605030,235655979140,358636343640
"108",20160606,10534727278890,411039194470,1414980824400,1867362358950,1230276064520,2281522948330,2104117485210,3188222974980,2710303413180,235352700380,356337694425.9
"109",20160607,10782854932690,407895738313.8,1419894765680,1867646169850,1229512015280,2276442902462.5,2108011502130,3207408721450,2739541654720,234680281100,358429812645.9
"110",20160608,10897266202060,416283925180,1428758379710,1867286228070,1237193681090,2281369177274,2109686691460,3217616702560,2746255008160,236717980450,359444020106.7
"111",20160609,10785528631120,401446086750.8,1427634854590,1862609072770,1236471768050,2271746511450,2091691560050,3211159907710,2738623374170,238753446460,359481512950
"112",20160610,10472051523340,389955887290,1415075096010,1838983232140,1226772872280,2247046769410,2038360186456,3178822647730,2714416450450,238167049160,358002918330.3
"113",20160613,10386316026230,389641157960,1400504294630,1825511698230,1213952842290,2224798997230,2015659788142.9,3141521482280,2681677358810,238038880080,358298028430.3
"114",20160614,10322502409730,382169168850,1405641055640,1824146924000,1212158357200,2211811406360,1981122268970,3139012955840,2689409620720,239216129690,357428555748.9
"115",20160615,10337087545190,387794140680,1406373073520,1830923997390,1213701587950,2203311893732.5,1987193978214,3135623045440,2677936164350,237981035810,360863284258.9
"116",20160616,10169629869040,388716918410,1408688170430,1832419803680,1222181835960,2215272028480,1996259264890,3150247502550,2676329787630,239452779310,363718191887.5
"117",20160617,10227644473330,396156584740,1409943378120,1825026026230,1215893367210,2197412886010,2013913586654.3,3134337359620,2658518895360,240509893230,362388697160
"118",20160620,10450616103230,403795270860,1423183324340,1849774457290,1223442560430,2224973975970,2045350370343.3,3158835450800,2673019654660,239195164200,362229667020
"119",20160621,10630827971610,403422331995,1422495171320,1857761839280,1231366169290,2225552299497.5,2062643371070,3183815294870,2686371300270,239460245720,364581927920
"120",20160622,10629263160350,402781015595,1417587809770,1848164279930,1231344805990,2232584894190,2064318569550,3169089271070,2686368432110,238356252030,364059895440
"121",20160623,10926425526580,415738666697.5,1433833950860,1875135246730,1241035156380,2262319167845,2121098946230,3217111361300,2720395516280,239361228930,365404553010
"122",20160624,10228994127660,389482458642.5,1379370663490,1800427526500,1203612618870,2195715521770,1965793882402,3076047410550,2628747103750,239359828510,361959909150
"123",20160627,9953524472930,376330629740,1353798981860,1760983713540,1198060369230,2179159657755,1894530987984.2,3003043971070,2619121662190,243930144990,364553566550
"124",20160628,10341478436310,385808007150,1375083436510,1789609461170,1208796353270,2225081975817.5,1945620253690.6,3059359793160,2666236032910,245452035560,371576806290
"125",20160629,10621942340130,393718962972.5,1397278651710,1818250513300,1224570993660,2264493735110,1986008393800,3118368631850,2718038224360,245387329320,375185992080.3
"126",20160630,10742281899360,403725486525,1425032793970,1826233552330,1252141923390,2297764960690,2012814536330,3151357763260,2748289860480,251142875260,378272899631.9
